10
0 8
8 12
20 8
28 12
40 8
48 12
60 8
68 12
80 8
88 12
c0 8 14
c1 28 8
c2 8 37
c3 8 26
c4 8 20
c5 28 25
c6 8 58
c7 8 64
c8 8 92
c9 8 84
c10 8 55
c11 28 76
c12 28 97
c13 8 0
c14 28 19
c15 28 0
c16 8 6
c17 8 34
c18 28 50
c19 8 43
c20 8 49
c21 28 34
c22 8 70
c23 28 58
c24 8 76
c25 28 73
c26 20 0
c27 20 8
c28 20 17
c29 20 14
c30 20 20
c31 0 22
c32 20 39
c33 20 26
c34 20 42
c35 20 65
c36 0 73
c37 20 74
c38 20 68
c39 20 77
c40 40 78
c41 0 94
c42 48 15
c43 28 11
c44 48 6
c45 48 32
c46 48 48
c47 28 31
c48 48 51
c49 48 59
c50 28 61
c51 48 67
c52 48 75
c53 28 67
c54 60 21
c55 40 27
c56 60 9
c57 60 12
c58 40 33
c59 60 39
c60 40 42
c61 60 48
c62 40 48
c63 60 51
c64 40 60
c65 40 51
c66 40 55
c67 60 57
c68 40 75
c69 40 81
c70 40 63
c71 60 72
c72 60 87
c73 60 78
c74 48 0
c75 68 14
c76 48 12
c77 48 23
c78 48 40
c79 48 26
c80 68 40
c81 68 60
c82 68 51
c83 28 42
c84 48 81
c85 48 87
c86 48 90
c87 68 86
c88 60 0
c89 60 3
c90 40 11
c91 40 17
c92 40 36
c93 60 33
c94 80 24
c95 60 45
c96 60 54
c97 60 60
c98 60 66
c99 80 72
c100 60 69
c101 80 94
c102 40 97
c103 60 84
c104 68 3
c105 68 20
c106 68 23
c107 68 6
c108 68 26
c109 68 54
c110 68 32
c111 88 41
c112 68 43
c113 88 58
c114 68 74
c115 68 68
c116 68 78
c117 68 92
c118 60 18
c119 80 6
c120 80 0
c121 80 12
c122 60 27
c123 80 36
c124 80 18
c125 80 42
c126 80 45
c127 80 54
c128 80 39
c129 80 30
c130 80 48
c131 80 60
c132 80 57
c133 80 69
c134 80 66
c135 60 97
c136 88 24
c137 88 0
c138 88 16
c139 88 8
c140 88 27
c141 88 35
c142 88 52
c143 88 49
c144 88 64
c145 88 55
c146 88 90
c147 88 70
c148 88 87
c149 88 79
c150 88 73
