39
0 12
12 12
24 12
36 12
48 12
60 8
68 12
80 8
88 12
100 8
108 12
120 8
128 12
140 8
148 12
160 8
168 12
180 8
188 12
200 8
208 12
220 8
228 12
240 8
248 12
260 8
268 12
280 8
288 12
300 8
308 12
320 8
328 12
340 8
348 12
360 8
368 12
380 8
388 12
c0 12 53
c1 88 45
c2 0 17
c3 0 3
c4 12 23
c5 48 41
c6 0 11
c7 12 61
c8 0 59
c9 0 23
c10 24 0
c11 0 65
c12 0 105
c13 0 47
c14 48 146
c15 24 31
c16 0 39
c17 12 103
c18 48 155
c19 0 89
c20 0 73
c21 88 74
c22 12 140
c23 36 118
c24 0 81
c25 12 146
c26 0 114
c27 12 180
c28 12 194
c29 0 136
c30 0 150
c31 0 144
c32 0 175
c33 24 77
c34 12 201
c35 12 259
c36 0 226
c37 0 210
c38 0 189
c39 0 204
c40 36 239
c41 0 294
c42 68 246
c43 0 229
c44 48 0
c45 68 0
c46 48 18
c47 36 23
c48 88 31
c49 24 15
c50 0 53
c51 48 3
c52 88 22
c53 0 0
c54 68 74
c55 48 129
c56 88 48
c57 48 66
c58 12 117
c59 48 100
c60 12 109
c61 68 66
c62 12 88
c63 88 80
c64 24 51
c65 36 109
c66 24 37
c67 36 129
c68 12 177
c69 0 128
c70 36 121
c71 36 179
c72 48 258
c73 48 169
c74 12 158
c75 68 141
c76 0 153
c77 0 167
c78 0 218
c79 0 161
c80 88 198
c81 12 278
c82 48 222
c83 0 195
c84 24 97
c85 24 89
c86 0 237
c87 36 271
c88 60 0
c89 60 6
c90 60 42
c91 60 9
c92 80 60
c93 60 12
c94 100 9
c95 60 15
c96 60 93
c97 80 102
c98 60 141
c99 120 123
c100 60 108
c101 60 180
c102 60 159
c103 60 147
c104 100 114
c105 100 153
c106 80 180
c107 60 138
c108 60 192
c109 60 276
c110 80 129
c111 60 189
c112 80 114
c113 100 171
c114 80 177
c115 80 141
c116 80 186
c117 60 195
c118 80 276
c119 100 222
c120 100 189
c121 80 237
c122 60 264
c123 100 282
c124 60 261
c125 120 237
c126 100 258
c127 120 273
c128 60 294
c129 60 270
c130 120 207
c131 100 270
c132 80 249
c133 180 261
c134 160 228
c135 180 288
c136 240 171
c137 140 276
c138 220 237
c139 120 246
c140 220 207
c141 200 252
c142 240 231
c143 220 174
c144 100 27
c145 60 21
c146 60 153
c147 80 39
c148 60 75
c149 80 42
c150 100 0
c151 60 84
c152 80 96
c153 60 57
c154 80 123
c155 100 63
c156 80 57
c157 80 90
c158 100 96
c159 60 150
c160 60 123
c161 60 177
c162 60 120
c163 120 90
c164 100 102
c165 100 165
c166 60 225
c167 60 87
c168 100 90
c169 100 147
c170 80 243
c171 60 210
c172 60 231
c173 100 195
c174 60 279
c175 60 237
c176 120 240
c177 60 258
c178 100 162
c179 60 273
c180 100 273
c181 120 267
c182 80 282
c183 80 288
c184 120 234
c185 140 225
c186 160 285
c187 140 246
c188 160 288
c189 140 252
c190 100 255
c191 80 258
c192 180 279
c193 160 234
c194 240 234
c195 240 156
c196 200 267
c197 220 195
c198 240 237
c199 240 240
c200 80 0
c201 60 81
c202 60 27
c203 80 69
c204 60 63
c205 80 6
c206 80 48
c207 80 135
c208 60 99
c209 120 87
c210 80 126
c211 60 33
c212 60 114
c213 60 171
c214 60 111
c215 100 75
c216 80 168
c217 100 60
c218 80 174
c219 60 204
c220 100 108
c221 80 162
c222 120 144
c223 60 222
c224 80 153
c225 100 120
c226 80 213
c227 120 159
c228 80 189
c229 60 252
c230 100 183
c231 100 198
c232 140 123
c233 80 216
c234 100 144
c235 100 159
c236 80 252
c237 140 291
c238 140 261
c239 140 270
c240 180 228
c241 100 243
c242 140 297
c243 200 270
c244 120 291
c245 80 294
c246 200 297
c247 240 243
c248 160 225
c249 140 213
c250 200 276
c251 240 246
c252 160 297
c253 100 291
c254 140 279
c255 240 177
c256 160 258
c257 200 294
c258 88 25
c259 128 16
c260 12 6
c261 12 0
c262 12 35
c263 108 64
c264 88 0
c265 68 3
c266 48 86
c267 24 3
c268 36 53
c269 36 58
c270 0 31
c271 108 78
c272 36 75
c273 0 97
c274 24 45
c275 48 116
c276 36 140
c277 108 95
c278 48 58
c279 12 97
c280 48 213
c281 0 108
c282 48 140
c283 68 127
c284 68 124
c285 12 186
c286 88 146
c287 36 210
c288 12 169
c289 88 173
c290 24 65
c291 68 130
c292 24 83
c293 68 162
c294 0 181
c295 68 213
c296 0 198
c297 68 221
c298 36 265
c299 36 259
c300 68 194
c301 48 275
c302 80 9
c303 60 48
c304 60 69
c305 60 39
c306 100 54
c307 80 51
c308 80 75
c309 60 156
c310 60 132
c311 80 81
c312 60 105
c313 120 69
c314 60 129
c315 80 84
c316 80 147
c317 100 93
c318 80 105
c319 120 129
c320 120 105
c321 80 207
c322 60 144
c323 60 243
c324 120 111
c325 120 135
c326 80 201
c327 80 204
c328 80 195
c329 60 216
c330 60 207
c331 80 234
c332 80 210
c333 120 180
c334 80 156
c335 60 249
c336 60 198
c337 100 237
c338 120 174
