40
0 8
8 8
16 8
24 12
36 8
44 12
56 8
64 12
76 8
84 12
96 8
104 12
116 8
124 12
136 8
144 12
156 8
164 12
176 8
184 12
196 8
204 12
216 8
224 12
236 8
244 12
256 8
264 12
276 8
284 12
296 8
304 12
316 8
324 12
336 8
344 12
356 8
364 12
376 8
384 12
c0 24 215
c1 84 97
c2 44 220
c3 44 139
c4 24 79
c5 64 72
c6 44 147
c7 24 145
c8 24 271
c9 24 154
c10 24 0
c11 44 206
c12 24 385
c13 64 120
c14 64 290
c15 24 195
c16 44 76
c17 44 130
c18 64 293
c19 24 178
c20 24 125
c21 64 35
c22 44 170
c23 44 115
c24 64 56
c25 64 135
c26 24 224
c27 24 283
c28 84 251
c29 24 241
c30 24 249
c31 44 214
c32 24 356
c33 64 129
c34 24 263
c35 24 432
c36 24 475
c37 44 388
c38 104 209
c39 24 373
c40 44 292
c41 24 451
c42 104 475
c43 64 501
c44 44 323
c45 64 368
c46 64 421
c47 64 454
c48 84 407
c49 24 496
c50 64 633
c51 44 364
c52 104 306
c53 24 478
c54 64 673
c55 44 705
c56 84 391
c57 84 466
c58 64 613
c59 44 621
c60 24 628
c61 84 561
c62 24 542
c63 84 507
c64 44 660
c65 44 527
c66 24 575
c67 24 581
c68 24 696
c69 44 669
c70 44 488
c71 24 690
c72 124 793
c73 64 562
c74 44 543
c75 104 588
c76 44 624
c77 24 708
c78 64 761
c79 44 615
c80 84 632
c81 44 797
c82 124 514
c83 84 609
c84 144 720
c85 144 695
c86 164 650
c87 24 711
c88 24 743
c89 64 724
c90 24 793
c91 24 774
c92 184 658
c93 64 707
c94 84 721
c95 104 639
c96 124 739
c97 184 691
c98 204 715
c99 224 669
c100 124 742
c101 244 592
c102 224 797
c103 184 694
c104 204 740
c105 244 715
c106 244 718
c107 124 736
c108 204 748
c109 224 677
c110 184 635
c111 24 3
c112 24 11
c113 64 41
c114 24 17
c115 24 25
c116 44 0
c117 44 3
c118 24 255
c119 44 136
c120 44 53
c121 44 99
c122 24 111
c123 64 235
c124 24 93
c125 24 221
c126 24 189
c127 44 226
c128 44 93
c129 44 39
c130 24 99
c131 24 162
c132 24 33
c133 24 309
c134 44 198
c135 24 325
c136 44 437
c137 24 207
c138 44 326
c139 104 66
c140 64 273
c141 84 202
c142 44 350
c143 64 193
c144 64 371
c145 44 284
c146 24 600
c147 64 318
c148 64 353
c149 64 315
c150 104 194
c151 44 367
c152 44 440
c153 44 272
c154 24 490
c155 64 374
c156 24 348
c157 24 424
c158 24 463
c159 24 472
c160 24 418
c161 24 525
c162 24 404
c163 104 397
c164 64 399
c165 24 617
c166 44 612
c167 84 242
c168 44 376
c169 104 394
c170 44 654
c171 44 496
c172 24 560
c173 24 569
c174 44 643
c175 24 554
c176 84 684
c177 24 584
c178 24 469
c179 44 603
c180 24 728
c181 44 736
c182 24 684
c183 84 600
c184 44 651
c185 24 734
c186 64 730
c187 84 654
c188 44 751
c189 64 679
c190 104 484
c191 24 551
c192 24 765
c193 24 675
c194 164 783
c195 64 775
c196 24 759
c197 24 768
c198 164 662
c199 204 652
c200 64 716
c201 144 742
c202 24 667
c203 164 744
c204 64 781
c205 64 685
c206 124 700
c207 244 721
c208 144 788
c209 224 685
c210 244 574
c211 24 714
c212 184 652
c213 224 693
c214 104 795
c215 124 796
c216 244 598
c217 164 627
c218 224 701
c219 244 724
c220 184 782
c221 224 606
c222 24 142
c223 24 105
c224 44 9
c225 64 0
c226 44 107
c227 104 86
c228 24 67
c229 24 122
c230 24 73
c231 44 59
c232 124 48
c233 44 12
c234 44 20
c235 24 39
c236 64 84
c237 84 281
c238 44 300
c239 44 278
c240 64 218
c241 44 84
c242 24 295
c243 44 344
c244 44 190
c245 24 139
c246 84 289
c247 44 480
c248 44 161
c249 24 151
c250 64 270
c251 24 379
c252 24 235
c253 24 133
c254 84 121
c255 104 295
c256 24 186
c257 64 204
c258 64 335
c259 104 283
c260 44 309
c261 44 164
c262 24 388
c263 84 399
c264 64 99
c265 44 153
c266 44 507
c267 24 301
c268 24 412
c269 44 396
c270 24 457
c271 84 369
c272 44 405
c273 84 525
c274 44 587
c275 64 460
c276 24 611
c277 84 377
c278 24 289
c279 24 396
c280 24 720
c281 64 523
c282 44 457
c283 104 501
c284 44 557
c285 64 587
c286 104 495
c287 24 656
c288 24 533
c289 104 504
c290 64 382
c291 84 451
c292 24 603
c293 64 593
c294 24 639
c295 64 682
c296 64 610
c297 44 691
c298 24 653
c299 24 614
c300 104 450
c301 44 609
c302 44 573
c303 24 699
c304 24 740
c305 44 551
c306 64 741
c307 84 662
c308 84 698
c309 104 770
c310 44 791
c311 44 730
c312 64 699
c313 144 629
c314 24 785
c315 24 751
c316 84 796
c317 84 707
c318 64 713
c319 164 766
c320 104 737
c321 204 732
c322 44 742
c323 224 621
c324 104 725
c325 204 610
c326 184 740
c327 184 720
c328 164 758
c329 144 745
c330 164 615
c331 244 604
c332 164 736
c333 204 770
c334 44 767
c335 184 734
c336 0 0
c337 56 28
c338 76 0
c339 56 142
c340 76 6
c341 76 75
c342 0 6
c343 0 45
c344 136 39
c345 76 66
c346 8 0
c347 76 30
c348 8 45
c349 76 81
c350 0 12
c351 76 36
c352 116 93
c353 36 57
c354 36 69
c355 56 54
c356 16 0
c357 36 78
c358 16 9
c359 16 27
c360 16 12
c361 16 21
c362 0 18
